"Trade_Name
",Chemical,Manufacturer,Top_15_Brand_Corporation,Biologic_(by_Product),Biosimilar,NAS,Oncology,Rare_Disease_(FDA),Rare_Disease_(EMA),Rare_Disease_(FDA_or_EMA),HC-HTA_Aligned_Review,Health_Canada_Submission_Date,NOC_Date,Health_Canada_Review_Time,HTA_Agency,CADTH_Submission_Date,CADTH_Timing_of__Submission,CADTH_Submission_Type_-_Agency_Specific,CADTH_Indication,CADTH_Review_Status,CADTH_Final_Recommendation/Withdrawn_Date,CADTH_Recommended_-_Agency_Specific,CADTH_Decision_Type_-_Standardized,INESSS_Submission_Date,INESSS_Timing_of__Submission,INESSS_Submission_Type_-_Agency_Specific,INESSS_Indication,INESSS_Review_Status,INESSS_Final_Recommendation/Withdrawn_Date,INESSS_Recommended_-_Agency_Specific,INESSS_Decision_Type_-_Standardized,pCPA_Negotiation,pCPA_First_Date,pCPA_Final_Date,pCPA_Type,pCPA_Negotiation_Outcome,BC_Status,AB_Status,SK_Status,MB_Status,ON_Status,NB_Status,NS_Status,PEI_Status,NL_Status,QC_Status,Listing_BC_Date,Listing_AB_Date,Listing_SK_Date,Listing_MB_Date,Listing_ON_Date,Listing_NB_Date,Listing_NS_Date,Listing_PEI_Date,Listing_NL_Date,Listing_QC_Date,First_Prov_Listing_(excl_QC),First_Prov_Listing_(inc_QC),Rank_BC_Listing_Date,Rank_AB_Listing_Date,Rank_SK_Listing_Date,Rank_MB_Listing_Date,Rank_ON_Listing_Date,Rank_NB_Listing_Date,Rank_NS_Listing_Date,Rank_PEI_Listing_Date,Rank_NL_Listing_Date,Rank_QC_Listing_Date,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Total_population_coverage_(incl_QC),Date_>_50%_Cumulative_Ranking,Date_>_80%_Cumulative_Ranking,NOC_to_CADTH_Submission,NOC_to_INESSS_Submission,CADTH_Duration,INESSS_Duration,CADTH_to_pCPA_Initiation,INESSS_to_pCPA_Initiation,pCPA_LOI_to_LOE,pCPA_to_Listing_BC_Date,pCPA_to_Listing_AB_Date,pCPA_to_Listing_SK_Date,pCPA_to_Listing_MB_Date,pCPA_to_Listing_ON_Date,pCPA_to_Listing_NB_Date,pCPA_to_Listing_NS_Date,pCPA_to_Listing_PEI_Date,pCPA_to_Listing_NL_Date,pCPA_to_Listing_QC_Date,pCPA_to_Listing_Nat_Avg_(excl_QC),pCPA_Completion_to_1st_Listing_(excl_QC),pCPA_to_Listing_Nat_Avg_(incl_QC),pCPA_Completion_to_1st_Listing_(incl_QC),pCPA_Completion_to_80%_Listing,NOC_to_Listing_BC_Date,NOC_to_Listing_AB_Date,NOC_to_Listing_SK_Date,NOC_to_Listing_MB_Date,NOC_to_Listing_ON_Date,NOC_to_Listing_NB_Date,NOC_to_Listing_NS_Date,NOC_to_Listing_PEI_Date,NOC_to_Listing_NL_Date,NOC_to_Listing_QC_Date,NOC_to_Listing_Nat_Avg_(excl_QC),NOC_to_Listing_Nat_Avg_(inc_QC),"NOC_to_1st_Provincial_Listing
(unique_at_product/indication_level)_exc_QC","CADTH_Submission_to_1st_Provincial_Listing
exc_QC",CADTH_Recommendation_to_1st_Provincial_Listing_exc_QC,HTA_Rec_to_BC_Listing_Date,HTA_Rec_to_AB_Listing_Date,HTA_Rec_to_SK_Listing_Date,HTA_Rec_to_MB_Listing_Date,HTA_Rec_to_ON_Listing_Date,HTA_Rec_to_NB_Listing_Date,HTA_Rec_to_NS_Listing_Date,HTA_Rec_to_PEI_Listing_Date,HTA_Rec_to_NL_Listing_Date,HTA_Rec_to_QC_Listing_Date,Nat`l_Avg_(excl_QC),NOC_to_CADTH_Rec,NOC_to_INESSS_Rec,CADTH_Rec_to_pCPA_Decision,INESSS_Rec_to_pCPA_Decision,NOC_to_80%_Listing,First_Provincial_Listing_to_80%_Listing_(incl_QC),First_Provincial_Listing_to_80%_Listing_(excl_QC),First_Provincial_Listing_to_50%_Listing_(incl_QC),50%_Listing_to_80%_Listing,HC_Sub_to_CADTH_Rec
Adcetris,brentuximab vedotin,Seattle Genetics,N,Y,N,Y,Y,Y,Y,Y,N,,01-Feb-13,,CADTH & INESSS,15-Mar-13,post-NOC,New drug,Systemic Anaplastic Large Cell Lymphoma (sALC),Completed,05-Dec-13,Cond'l on Cost,Conditional,02-Aug-13,post-NOC,New Drug,Systemic Anaplastic Large Cell Lymphoma (sALC),Completed,03-Feb-14,Ajout à la Liste Établissements - Médicament d'exception - Conditionnel à ce que le rapport entre le coût et l'efficacité soit modifié pour atteindre un niveau acceptable et à l'instauration d'un suivi,Conditional,1st,04-Sep-13,31-Jan-14,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,EM,01-Jun-14,01-May-14,04-Feb-14,01-Mar-14,19-Feb-14,01-Oct-15,01-Jan-15,,25-Jun-18,03-Feb-14,04-Feb-14,03-Feb-14,6,5,2,4,3,8,7,,9,1,28.60%,34.30%,66.50%,72.10%,76.50%,96.80%,98.10%,99.00%,99.60%,,99.60%,19-Feb-14,01-Jun-14,42,182,265,185,-92,-152,149,121,90,4,29,19,608,335,,1606,3,352,4,313,3,121,485,454,368,393,383,972,699,,1970,367,716,677,368,326,61,178,147,61,86,76,665,392,,1663,0,409,307,367,57,-3,485,118,117,16,102,41613
Adcetris,brentuximab vedotin,Seattle Genetics,N,Y,N,N,Y,Y,Y,Y,N,,20-Jul-17,,CADTH,05-Apr-16,pre-NOC,New indication,Hodgkin Lymphoma (post-ASCT consolidation): For post-ASCT consolidation treatment of patients with Hodgkin Lymphoma (HL) at high risk of relapse or progression,Withdrawn,07-Jul-16,n/a,n/a,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,-471,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-378,,,,,,,,,42558
Adcetris,brentuximab vedotin,Seattle Genetics,N,Y,N,N,Y,Y,Y,Y,N,,20-Jul-17,,CADTH,10-Aug-17,post-NOC,Resubmission,Hodgkin’s Lymphoma at high risk of relapse or progression post-ASCT,Completed,21-Feb-18,Cond'l on Cost,Conditional,,,,,,,,,1st,22-Jun-18,13-Mar-19,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Under provincial consideration,Funded,EM,01-Feb-19,10-Apr-20,01-May-19,01-Apr-19,17-Dec-19,25-Jul-19,01-Jul-19,,29-Jul-19,11-Apr-19,01-Feb-19,01-Feb-19,1,9,4,2,8,6,5,,7,3,20.30%,25.80%,54.40%,60.10%,61.40%,62.30%,63.00%,95.20%,99.60%,,99.60%,11-Apr-19,17-Dec-19,21,,195,,121,,264,-40,394,49,19,279,134,110,,138,29,135,-40,124,-40,279,561,995,650,620,880,735,711,,739,630,736,725,561,540,345,345,779,434,404,664,519,495,,523,,520,216,,385,,880,319,319,69,250,43152
Adcetris,brentuximab vedotin,Seattle Genetics,N,Y,N,N,Y,Y,Y,Y,N,01-May-19,22-Nov-19,205,CADTH & INESSS,08-Oct-19,pre-NOC,New indication,"Peripheral T-Cell Lymphoma (PTCL): For the treatment of previously untreated adult patients with systemic anaplastic large cell lymphoma (sALCL), peripheral T-cell lymphoma-not otherwise specified (PTCL-NOS) or angioimmunoblastic T-cell lymphoma (AITL), whose tumours express CD30, in combination with cyclophosphamide, doxorubicin, and prednisone (CHP).",Completed,04-Jun-20,Fund,Positive,25-Oct-19,pre-NOC,New Indication,"Peripheral T-Cell Lymphoma (PTCL): For the treatment of previously untreated adult patients with systemic anaplastic large cell lymphoma (sALCL), peripheral T-cell lymphoma-not otherwise specified (PTCL-NOS) or angioimmunoblastic T-cell lymphoma (AITL), whose tumours express CD30, in combination with cyclophosphamide, doxorubicin, and prednisone (CHP).",Completed,10-Jun-20,Inscription - Avec conditions,Conditional,1st,03-Jul-20,21-Sep-20,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,EM,01-Dec-20,28-Feb-21,01-Jan-21,25-Aug-22,31-Jan-22,,,,,11-Nov-20,01-Dec-20,11-Nov-20,2,4,3,6,5,,,,,1,28.60%,48.80%,54.60%,59.00%,91.20%,96.80%,,,,,96.80%,01-Jan-21,31-Jan-22,-45,-28,240,229,29,23,80,71,160,102,703,497,,,,,51,307,71,264,51,497,375,464,406,1007,801,,,,,355,611,568,375,420,180,180,269,211,812,606,,,,,154,416,195,201,109,103,801,446,426,51,395,400
Adcetris,brentuximab vedotin,Seattle Genetics,N,Y,N,N,Y,Y,Y,Y,N,01-Apr-18,21-Dec-18,264,CADTH & INESSS,30-Mar-20,post-NOC,New indication,Primary Cutaneous Anaplastic Large Cell Lymphoma or CD30-Expressing Mycosis Fungoides,Completed,03-Dec-20,Cond'l on Cost,Conditional,08-May-20,post-NOC,New Indication,Primary Cutaneous Anaplastic Large Cell Lymphoma or CD30-Expressing Mycosis Fungoides,Completed,14-Oct-20,Inscription - Avec conditions,Conditional,1st,05-Feb-21,28-Apr-21,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,EM,01-Aug-21,01-Jul-21,01-Aug-21,07-Mar-22,31-Jan-22,,,,,18-Aug-21,01-Jul-21,01-Jul-21,2,1,3,6,5,,,,,4,4.50%,24.70%,30.40%,59.00%,91.20%,96.80%,,,,,96.80%,18-Aug-21,31-Jan-22,465,504,248,159,64,114,82,95,64,95,313,278,,,,,112,169,64,160,64,278,954,923,954,1172,1137,,,,,971,1028,1019,923,458,210,241,210,241,459,424,,,,,308,315,713,663,146,196,1137,214,214,48,166,977
Adcetris,brentuximab vedotin,Seattle Genetics,N,Y,N,N,Y,Y,Y,Y,N,01-Jul-18,02-May-19,305,CADTH & INESSS,02-Apr-20,post-NOC,New indication,"Stage IV Hodgkin lymphoma (HL) in combination with doxorubicin, vinblastine, and dacarbazine (AVD)",Completed,03-Dec-20,Cond'l on Cost,Conditional,22-May-20,post-NOC,New Indication,"Stage IV Hodgkin lymphoma (HL) in combination with doxorubicin, vinblastine, and dacarbazine (AVD)",Completed,05-Nov-20,Inscription - Avec conditions,Conditional,1st,05-Feb-21,28-Apr-21,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,EM,01-Aug-21,31-Jul-21,01-Aug-21,25-Aug-22,30-Nov-21,,,,,18-Aug-21,31-Jul-21,31-Jul-21,2,1,3,6,5,,,,,4,4.50%,24.70%,30.40%,59.00%,91.20%,96.80%,,,,,96.80%,18-Aug-21,30-Nov-21,336,386,245,167,64,92,82,95,94,95,484,216,,,,,112,197,94,183,94,216,822,821,822,1211,943,,,,,839,924,910,821,485,240,241,240,241,630,362,,,,,286,343,581,553,146,174,943,122,122,18,104,886
Adcetris (Resubmission),brentuximab vedotin,Seattle Genetics,N,Y,N,Y,Y,Y,Y,Y,N,,01-Feb-13,,CADTH,27-Aug-18,post-NOC,Resubmission,Hodgkin Lymphoma: For the treatment of patients with HL after failure of at least two multi-agent chemotherapy regimens in patients who are not ASCT candidates,Completed,07-Mar-19,Do Not Fund,Negative,,,,,,,,,None,17-May-19,,Do Not Negotiate,n/a,Funded,Not funded,Not funded,Under provincial consideration,Funded,Not funded,Under provincial consideration,Not funded,Not funded,NR,01-Jun-14,,,,30-Nov-21,,,,,,01-Jun-14,01-Jun-14,1,,,,2,,,,,,20.30%,52.50%,,,,,,,,,52.50%,30-Nov-21,,2033,,192,,71,,,,,,,,,,,,,,,,,,485,,,,3224,,,,,,1855,1855,485,-1548,-1740,-1740,,,,999,,,,,,-371,2225,,,,,,,2739,,43531
Adempas (PAH WHO I),riociguat,Bayer ,Y,N,N,N,N,Y,Y,Y,N,,06-Mar-14,,CADTH & INESSS,25-Jun-15,post-NOC,Initial,Pulmonary arterial hypertension (WHO group 1),Completed,17-Dec-15,List with clinical criteria and/or conditions,Conditional,04-Aug-14,post-NOC,New Indication,Pulmonary arterial hypertension (WHO group 1),Completed,02-Feb-15,Avis de refus - Valeur thérapeutique,Negative,1st,31-Oct-16,31-Jan-17,Negotiation,No agreement reached,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,476,151,175,182,319,637,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651,333,411,729,,,,,,42355
Adempas (PH),riociguat,Bayer ,Y,N,N,Y,N,Y,Y,Y,N,,19-Sep-13,,CADTH & INESSS,30-Sep-13,post-NOC,Initial,"Pulmonary hypertension, chronic thromboembolic (CTEPH)",Completed,17-Jul-14,List with criteria/condition,Conditional,,,New Drug,"Pulmonary hypertension, chronic thromboembolic (CTEPH)",Completed,24-Apr-14,Ajout aux listes de médicaments - Médicament d'exception,Conditional,1st,31-Aug-14,23-Jan-15,Negotiation,Completed with Agreements,NR,NR,EDS,EDS,EAP,SA,EDS,SA,SA,EM,,,01-Jul-15,20-Apr-15,11-Feb-15,23-Jul-15,29-Jun-15,01-Aug-18,01-Jun-15,24-Apr-14,11-Feb-15,24-Apr-14,,,6,3,2,7,5,8,4,1,28.60%,60.80%,66.30%,67.00%,68.30%,74.00%,74.90%,75.30%,,,75.30%,11-Feb-15,,11,,290,,45,129,145,,,159,87,19,181,157,1286,129,-274,288,19,218,-274,,,,650,578,510,672,648,1777,620,217,779,709,510,499,209,,,349,277,209,371,347,1476,319,0,478,301,217,190,274,,,,293,,41837
Adlyxine,lixisenatide,Sanofi-Aventis ,Y,N,N,Y,N,N,N,N,N,01-Jun-16,25-May-17,358,CADTH & INESSS,29-May-17,post-NOC,Initial,"Diabetes mellitus, Type 2",Completed,23-Nov-17,Reimburse with clinical criteria and/or conditions,Conditional,,,New Drug,Diabetes,Completed,01-Feb-18,Avis de refus d'inscription aux listes des médicaments - Valeur thérapeutique,Negative,1st,27-Apr-18,21-Nov-19,Negotiation,Completed with Agreements,NR,SA,EDS,EDS,FB,SA,EDS,SA,SA,NR,,01-Jul-20,01-Jan-21,05-Aug-21,20-Dec-19,21-May-20,19-Apr-22,28-Mar-22,03-May-22,,20-Dec-19,20-Dec-19,,3,4,5,1,2,7,6,8,,32.20%,33.10%,37.60%,43.30%,48.80%,49.20%,50.50%,51.20%,,,51.20%,19-Apr-22,,4,,178,,155,85,573,,223,407,623,29,182,880,858,894,,512,29,512,29,,,1133,1317,1533,939,1092,1790,1768,1804,,1422,1422,939,935,757,,951,1135,1351,757,910,1608,1586,1622,,1240,182,252,728,658,,,,851,,540
Admelog (Cancelled),insulin lispro,sanofi-aventis Canada Inc.,Y,Y,Y,N,N,N,N,N,N,01-Jan-17,16-Nov-17,319,CADTH & INESSS,N/A,na,n/a,"Diabetes mellitus, Type 1 & 2",Cancelled,,Cancelled or withdrawn,n/a,,,New Drug,Diabetes,Completed,14-May-20,Inscription,Positive,1st,29-Jan-20,30-Sep-20,Negotiation,Completed with Agreements,FB,FB,FB,FB,FB,FB,,FB,FB,FB,30-Nov-21,01-Aug-21,01-Jan-21,01-Apr-21,18-Dec-20,26-Nov-20,,27-Sep-21,03-May-22,03-Mar-21,26-Nov-20,26-Nov-20,8,6,3,5,2,1,,7,9,4,0.90%,33.10%,38.80%,67.40%,73.00%,77.40%,77.80%,98.00%,98.70%,,98.70%,03-Mar-21,30-Nov-21,,,,,,-106,245,426,305,93,183,79,57,,362,580,154,261,57,249,57,426,1475,1354,1142,1232,1128,1106,,1411,1629,1203,1310,1298,1106,,,,,,,,,,,,293,,,910,,139,1475,369,369,97,272,-42736
Adtralza,tralokinumab,LEO Pharma Inc.,N,Y,N,Y,N,N,N,N,Y,01-Dec-20,13-Oct-21,316,CADTH & INESSS,27-Apr-21,pre-NOC,Initial,atopic dermatitis,Completed,07-Mar-22,Do not reimburse,Negative,20-Aug-21,pre-NOC,New Drug,Moderate to severe atopic dermatitis,Completed,04-Feb-22,Refus d'inscription,Negative,none,03-May-22,,Do Not Negotiate,n/a,NR,,NR,,,NR,,,,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,-169,-54,314,168,57,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,114,,,,,,,,461
Aduhelm,aducanumab,"Biogen Canada, Inc.",N,Y,N,Y,N,N,N,N,N,01-Jun-21,,,CADTH & INESSS,26-Nov-21,na,Initial,Alzheimer's disease,Withdrawn,09-Jun-22,Cancelled or withdrawn,n/a,25-Mar-22,,New Drug,Alzheimer's disease,withdrawn,n/a,n/a,n/a,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373
Aermony RespiClick,fluticasone propionate ,Teva Canada Innovation,N,N,N,N,N,N,N,N,N,01-Oct-16,22-Aug-17,325,CADTH & INESSS,04-Oct-17,post-NOC,Initial,Asthma,Completed,19-Dec-18,Reimburse with clinical criteria and/or conditions,Conditional,11-Jan-20,post-NOC,New drug,Asthma,Completed,14-May-20,Inscription - Avec conditions,Conditional,1st,12-Apr-19,31-Jul-19,Negotiation,No agreement reached,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,12-Aug-21,01-Apr-21,01-May-21,05-Aug-21,29-Mar-21,22-Apr-21,22-Feb-22,22-Nov-21,07-Jul-21,03-Mar-21,29-Mar-21,03-Mar-21,8,3,5,7,2,4,10,9,6,1,28.60%,60.80%,65.30%,66.20%,71.90%,72.60%,78.10%,98.30%,98.70%,100.00%,100.00%,29-Mar-21,12-Aug-21,43,872,441,124,114,-398,110,743,610,640,736,607,631,937,845,707,581,717,607,704,581,743,1451,1318,1348,1444,1315,1339,1645,1553,1415,1289,1425,1412,1315,1272,831,967,834,864,960,831,855,1161,1069,931,293,941,484,996,224,-288,1451,162,136,26,136,809
Afinitor,everolimus,Novartis,Y,N,N,N,Y,Y,N,Y,N,,02-Feb-12,,CADTH & INESSS,27-Feb-12,post-NOC,New indication,GI: Pancreatic neuroendocrine tumours ,Completed,30-Aug-12,Cond'l on Cost,Conditional,,,New Indication,GI: Pancreatic neuroendocrine tumours ,Completed,15-Nov-12,Avis de refus (2.5mg and 5mg); Ajout d'une indication reconnue - Méd. d'exc. - Conditionnel à une entente de partage de risque financier (10mg),Conditional,1st,26-Aug-13,11-Oct-13,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,EM,01-Jun-11,25-Mar-13,01-Feb-13,17-Jul-14,08-Nov-13,19-Dec-13,01-Oct-14,,06-Mar-14,15-Nov-12,01-Jun-11,01-Jun-11,1,4,3,8,5,6,9,,7,2,20.30%,48.80%,54.60%,59.00%,91.20%,92.10%,92.80%,98.30%,99.60%,,99.60%,01-Feb-13,08-Nov-13,25,,185,,361,284,46,-863,-200,-252,279,28,69,355,,146,-330,-55,-863,-85,-863,28,-246,417,365,896,645,686,972,,763,287,562,532,-246,-271,-456,-456,207,155,686,435,476,762,,553,0,352,210,287,407,330,645,891,891,611,280,41151
Afinitor,everolimus,Novartis,Y,N,N,N,Y,N,N,N,N,,10-Jan-13,,CADTH & INESSS,05-Sep-12,pre-NOC,New indication,Advanced Breast Cancer,Completed,25-Mar-13,Cond'l on Cost,Conditional,02-Aug-13,post-NOC,New Indication,Advanced Breast Cancer,Completed,03-Feb-14,"Avis de refus - À moins que le rapport entre le coût et l'efficacité soit modifié pour atteindre un niveau acceptable (10 mg) Avis de refus (2,5 mg, 5 mg)",Conditional,1st,,31-Jan-14,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,EM,01-Dec-13,19-Dec-13,16-Dec-13,17-Jul-14,08-Nov-13,19-Dec-13,01-Oct-14,,06-Mar-14,03-Feb-14,08-Nov-13,08-Nov-13,2,4,3,8,1,5,9,,7,6,32.20%,52.50%,58.20%,62.70%,63.60%,92.10%,92.80%,98.30%,99.60%,,99.60%,01-Dec-13,03-Feb-14,-127,204,201,185,,,,-61,-43,-46,167,-84,-43,243,,34,3,21,-84,19,-84,3,325,343,340,553,302,343,629,,420,389,407,405,302,429,228,251,269,266,479,228,269,555,,346,0,333,74,389,312,-3,389,87,87,23,64,41358
Afinitor,everolimus,Novartis,Y,N,N,N,Y,Y,N,Y,N,,17-May-16,,CADTH & INESSS,30-May-16,post-NOC,New indication,"Endocrine, neuroendocrine tumours of GI or lung origin",Completed,01-Dec-16,Cond'l on Cost,Conditional,12-Aug-16,post-NOC,New Indication,Neuroendocrine tumours of Gastrointestinal or Lung origin,Completed,01-Feb-17,Avis de refus d’ajout d’une indication reconnue aux listes des médicaments – Médicament d’exception – À moins que certaines conditions soient respectées,Conditional,1st,31-Mar-17,01-Sep-17,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,,Funded,EM,01-Feb-18,04-Sep-18,01-Oct-17,28-Jan-18,20-Nov-17,20-Mar-18,30-May-21,,29-Jul-19,15-Dec-17,01-Oct-17,01-Oct-17,5,7,1,4,2,6,9,,8,3,5.70%,38.00%,66.50%,72.10%,92.30%,93.20%,97.70%,98.30%,99.60%,,99.60%,15-Dec-17,01-Feb-18,13,87,185,173,120,58,154,153,368,30,149,80,200,1367,,696,105,380,30,350,30,153,625,840,502,621,552,672,1839,,1168,577,852,822,502,489,304,427,642,304,423,354,474,1641,,970,317,654,198,260,274,212,625,123,123,75,48,42705
Afinitor (TSC),everolimus ,Novartis ,Y,N,N,N,N,Y,N,Y,N,,25-Jan-13,,CADTH,08-Mar-13,post-NOC,Initial,Renal angiomyolipoma associated with tuberous sclerosis complex (TSC) ,Completed,25-Sep-13,Do not list ,Negative,,,,,,,,,none,01-Nov-13,,Do Not Negotiate,n/a,NR,NR,NR,NR,EAP,NR,NR,NR,NR,NR,,,,,08-Nov-13,,,,,,08-Nov-13,08-Nov-13,,,,,1,,,,,,32.20%,,,,,,,,,,32.20%,,,42,,201,,37,,,,,,,,,,,,,,,,,,,,,,287,,,,,,287,287,287,245,44,,,,,44,,,,,,44,243,,,,,,,,,41542
Aimovig,erenumab,Novartis,Y,Y,N,Y,N,N,N,N,N,01-Oct-17,01-Aug-18,304,CADTH & INESSS,02-May-19,post-NOC,Initial,Migraine,Completed,22-Jul-20,Reimburse with clinical criteria and/or conditions,Conditional,07-Jun-19,post-NOC,New Drug,Migraine,Completed,11-Dec-19,Refus d'inscription,Negative,1st,25-Jan-21,13-Dec-21,Negotiation,No agreement reached,NR,,NR,,,NR,,,NR,UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,274,310,447,187,187,411,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721,497,509,733,,,,,,1025
Ajovy,fremanezumab,Teva Canada Innovation,N,Y,N,Y,N,N,N,N,N,01-Jun-19,09-Apr-20,313,CADTH & INESSS,03-Jun-20,post-NOC,Initial,migraine,Completed,24-Mar-21,Reimburse with clinical criteria and/or conditions,Conditional,18-Sep-20,post-NOC,New Drug,Migraine,Completed,31-Mar-21,Refus d'inscription,Negative,1st,16-Jul-21,03-Dec-21,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,EAP,SA,EDS,FB,SA,EM,29-Mar-22,01-Feb-22,01-Feb-22,01-Jun-22,09-Jun-22,24-Mar-22,21-Mar-22,28-Dec-22,05-Apr-22,02-Feb-22,01-Feb-22,01-Feb-22,6,1,2,8,9,5,4,10,7,3,4.50%,10.20%,38.80%,40.10%,41.00%,61.20%,61.90%,67.40%,99.60%,100.00%,100.00%,29-Mar-22,09-Jun-22,55,162,294,194,114,107,140,116,60,60,180,188,111,108,390,123,61,148,60,140,60,188,719,663,663,783,791,714,711,993,726,664,751,743,663,608,314,370,314,314,434,442,365,362,644,377,308,402,349,356,254,247,791,128,128,56,72,662
Akynzeo,netupitant / palonosetron,Purdue Pharma,N,N,N,Y,N,N,N,N,N,01-Dec-16,28-Sep-17,301,CADTH & INESSS,08-Dec-17,post-NOC,Initial,Nausea and vomiting (chemotherapy induced) prevention,Completed,20-Jun-18,Reimburse with clinical criteria and/or conditions,Conditional,,,New Drug,Nausea and vomiting (chemotherapy induced) prevention,Completed,09-May-18,Avis de refus d’inscription aux listes des médicaments (chimiothérapie hautement émétisante) Avis de refus d’inscription aux listes des médicaments ? Valeur thérapeutique (chimiothérapie modérément émétisante),Negative,1st,19-Sep-18,24-Apr-19,Negotiation,Completed with Agreements,SA,UR,NR,EDS,LU,SA,EDS,SA,SA,EM,26-Nov-19,,,16-Jul-20,28-Jun-19,07-Nov-19,01-Sep-19,23-Sep-19,18-Jul-19,04-Jul-19,28-Jun-19,28-Jun-19,7,,,8,1,6,4,5,3,2,32.20%,60.80%,61.50%,62.80%,63.10%,64.00%,84.30%,89.80%,,,89.80%,04-Jul-19,26-Nov-19,71,,194,,91,133,217,216,,,449,65,197,130,152,85,71,185,65,171,65,216,789,,,1022,638,770,703,725,658,644,758,744,638,567,373,524,,,757,373,505,438,460,393,421,493,265,223,308,350,789,151,151,6,145,566
Albrioza,sodium phenylbutyrate and ursodoxicoltaurine,Amylyx Canada,N,N,N,Y,N,N,Y,Y,Y,01-Aug-21,10-Jun-22,313,CADTH & INESSS,24-Nov-21,pre-NOC,Initial,Amyotrophic lateral sclerosis (ALS),Completed,21-Jul-22,Reimburse with clinical criteria and/or conditions,Conditional,04-Mar-22,pre-NOC,New Drug,Treatment of amyotrophic lateral sclerosis,Completed,27-Jul-22,Refus d'inscription,Negative,1st,09-Aug-22,,Active,n/a,UR,,,,,,,,,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,-198,-98,239,145,19,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,47,,,,,,,,354
Alecensaro,alectinib,Hoffman-La Roche ,Y,N,N,Y,Y,Y,N,Y,N,01-Feb-16,29-Sep-16,241,CADTH & INESSS,03-Oct-16,post-NOC,New drug,Non-Small Cell Lung Cancer (with CNS metastases) ,Completed,04-May-17,Do not fund,Negative,24-Nov-16,post-NOC,New Drug,Non-Small Cell Lung Cancer (with CNS metastases),Completed,01-Jun-17,Avis de refus d'inscription aux listes des médicaments,Negative,None,31-Jul-17,,Do Not Negotiate,n/a,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,4,56,213,189,88,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,245,,,,,,,,458
